linha,nome da linha,Solicitações SIC
20,Sertão Expresso,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 20 - Sertão Expresso, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
22,Vila Carlina,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 22 - Vila Carlina, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
23,Acibam,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 23 - Acibam, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
25,Guaraciaba,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 25 - Guaraciaba, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
31,PQ. São Vicente,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 31 - PQ. São Vicente, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
32,Vila João Ramalho,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 32 - Vila João Ramalho, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
41,Vila Mercedes,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 41 - Vila Mercedes, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
43,Guapituba,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 43 - Guapituba, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
44,JD. Anchieta,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 44 - JD. Anchieta, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
51,Capuava,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 51 - Capuava, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
61,Sônia Maria,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 61 - Sônia Maria, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
71,Paranavaí,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 71 - Paranavaí, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
72,Nova Mauá,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 72 - Nova Mauá, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
73,Oratório,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 73 - Oratório, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
74,Rosina,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 74 - Rosina, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
